anchor_representation_mean,anchor_representation_std,epoch,positive_representation_mean,positive_representation_std,step,train_loss
-0.012108566239476204,0.12444253265857697,0,-0.012265312485396862,0.1244271770119667,49,2.583270311355591
0.007447016425430775,0.12480844557285309,1,0.007540793623775244,0.12480281293392181,99,2.4158387184143066
-0.003496788442134857,0.1249815970659256,2,-0.0034079423639923334,0.12498404830694199,149,2.2596447467803955
-0.00168723170645535,0.1250191330909729,3,-0.002027311595156789,0.12501408159732819,199,2.173018455505371
-0.004236863926053047,0.12495868653059006,4,-0.004243954084813595,0.12495844811201096,249,2.3019652366638184
0.00013246084563434124,0.12503045797348022,5,0.0002831408055499196,0.12503020465373993,299,2.286811113357544
-0.003295885631814599,0.12498705834150314,6,-0.003489256603643298,0.12498180568218231,349,2.276284694671631
0.009289891459047794,0.12468475848436356,7,0.00912634376436472,0.12469684332609177,399,2.2752413749694824
-0.0041651432402431965,0.12496110051870346,8,-0.0039547765627503395,0.12496794015169144,449,2.4123129844665527
-0.0012530306121334434,0.1250242441892624,9,-0.001141529530286789,0.12502531707286835,499,2.2408738136291504
